week,n,weighted UniFrac PCoA 1,test-statistic,p-value,q-value
2.0,29,0.1314117655593636,420.5,0.496896611801727,0.8260909492280991
3.0,30,-0.047840503215594535,343.0,0.08267219200892739,0.49858598155635925
4.0,30,0.01581924008500951,399.0,0.29520236690240037,0.8260909492280991
5.0,30,0.04291113121476367,413.0,0.37221892687379043,0.8260909492280991
6.0,28,0.09925217691009769,373.0,0.3019576048082447,0.8260909492280991
7.0,23,-0.1052354980590266,244.0,0.05052773939146603,0.37289461544316416
8.0,27,-0.05500780097378893,275.0,0.028579912027924627,0.29386951708683595
9.0,24,-0.15882077412677453,248.0,0.037708501276634894,0.31912640710765716
10.0,24,-0.15267381918706377,197.0,0.00358100719985386,0.045565868528469666
11.0,27,-0.09744290822568873,276.0,0.029668412613329597,0.29386951708683595
12.0,27,-0.06208516370826915,340.0,0.20150369386175004,0.7407985250255227
13.0,23,0.002907356715930306,315.0,0.3700818909118959,0.8260909492280991
14.0,25,-0.06752498856458496,290.0,0.10582710237180093,0.5429638886745607
