week,n,unweighted UniFrac PCoA 2,test-statistic,p-value,q-value
2.0,29,-0.007096922046180074,420.5,0.496896611801727,0.9787842469726072
3.0,30,-0.014485500314701336,406.0,0.3328285950619131,0.9787842469726072
4.0,30,-0.03066604216107398,434.0,0.49697565534611393,0.9787842469726072
5.0,30,0.0265391509998565,424.0,0.4367554198533468,0.9787842469726072
6.0,28,-0.020887280246132886,395.0,0.4334468759562328,0.9787842469726072
7.0,23,-0.0364063239491314,328.0,0.4633008565259522,0.9787842469726072
8.0,27,0.027663801826834283,341.0,0.20614655085460354,0.9373553434402657
9.0,24,0.04027780722446184,292.0,0.16067094650570046,0.8974066207423571
10.0,24,0.014601084774435006,311.0,0.25713550203441576,0.9619805666679799
11.0,27,0.006635809446229519,378.0,0.41559917782032035,0.9787842469726072
12.0,27,-0.03220678442049621,378.0,0.41559917782032035,0.9787842469726072
13.0,23,0.011636134966533433,311.0,0.3426162086018595,0.9787842469726072
14.0,25,-0.009023386906132611,335.0,0.31975423744937576,0.9787842469726072
