week,n,weighted UniFrac PCoA 2,test-statistic,p-value,q-value
2.0,9,-0.011733599127290235,40.5,0.4823096976815231,0.9591119555831865
3.0,9,-0.07562717634963896,35.0,0.3294216274746403,0.9591119555831865
5.0,15,-0.027869025140468177,64.0,0.4290138284937606,0.9591119555831865
6.0,14,-0.06973117237852991,56.0,0.34110050293455985,0.9591119555831865
7.0,4,0.026716337396422058,15.0,0.34983781281735243,0.9591119555831865
8.0,7,-0.1538787866602737,25.0,0.262679202233121,0.9355966647332065
9.0,8,0.0022500862979304335,31.0,0.33250277105101456,0.9591119555831865
10.0,10,0.13379946009610533,35.0,0.218971411449987,0.9340315559866867
11.0,2,0.0187528134268653,8.0,0.45309280787746414,0.9591119555831865
12.0,15,0.016662336596066685,55.0,0.23713717538366474,0.9340315559866867
14.0,15,-0.054089012325207464,60.0,0.33819316300045466,0.9591119555831865
