week,n,weighted UniFrac PCoA 1,test-statistic,p-value,q-value
2.0,9,-0.1570220534844565,40.5,0.4823096976815231,0.9194826581656984
3.0,9,-0.04236444717443189,31.0,0.21338836826649182,0.9163362195613206
5.0,15,-0.0874418794222049,61.0,0.3602573935681276,0.9194826581656984
6.0,14,-0.008093578165960019,54.0,0.29616947573430563,0.9194826581656984
7.0,4,-0.03151086340983933,17.0,0.46925144238923566,0.9194826581656984
8.0,7,-0.06311612593819091,31.0,0.5,0.9194826581656984
9.0,8,-0.010910928920026135,30.0,0.2983202673486976,0.9194826581656984
10.0,10,0.022485771406381482,37.0,0.2701456873037099,0.9194826581656984
11.0,2,-0.2168616626764836,5.0,0.20469774310495936,0.9163362195613206
12.0,15,-0.005546486046395196,53.0,0.20191552570622995,0.9163362195613206
14.0,15,-0.12608893221124456,57.0,0.2754924937925467,0.9194826581656984
